"Journal Data Filtered By:  Selected Categories: BIOLOGY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,ISSN,eISSN,Category,JIF Quartile,2020 JIF
"Life-Basel","N/A","2075-1729","BIOLOGY - SCIE","Q2","3.817",
"Biology Letters","1744-9561","1744-957X","BIOLOGY - SCIE","Q2","3.703",
"JOURNAL OF EXPERIMENTAL BIOLOGY","0022-0949","1477-9145","BIOLOGY - SCIE","Q2","3.312",
"JOURNAL OF BIOLOGICAL RHYTHMS","0748-7304","1552-4531","BIOLOGY - SCIE","Q2","3.182",
"YALE JOURNAL OF BIOLOGY AND MEDICINE","0044-0086","1551-4056","BIOLOGY - SCIE","Q2","3.026",
"JOURNAL OF THERMAL BIOLOGY","0306-4565","1879-0992","BIOLOGY - SCIE","Q2","2.902",
"ELECTROMAGNETIC BIOLOGY AND MEDICINE","1536-8378","1536-8386","BIOLOGY - SCIE","Q2","2.882",
"CHRONOBIOLOGY INTERNATIONAL","0742-0528","1525-6073","BIOLOGY - SCIE","Q2","2.877",
"COMPUTATIONAL BIOLOGY AND CHEMISTRY","1476-9271","1476-928X","BIOLOGY - SCIE","Q2","2.877",
"RADIATION RESEARCH","0033-7587","1938-5404","BIOLOGY - SCIE","Q2","2.841",
"MICROSCOPY RESEARCH AND TECHNIQUE","1059-910X","1097-0029","BIOLOGY - SCIE","Q2","2.769",
"JOURNAL OF RADIATION RESEARCH","0449-3060","1349-9157","BIOLOGY - SCIE","Q2","2.724",
"INTERNATIONAL JOURNAL OF RADIATION BIOLOGY","0955-3002","1362-3095","BIOLOGY - SCIE","Q2","2.694",
"JOURNAL OF THEORETICAL BIOLOGY","0022-5193","1095-8541","BIOLOGY - SCIE","Q2","2.691",
"Advances in Experimental Medicine and Biology","0065-2598","2214-8019","BIOLOGY - SCIE","Q2","2.622",
"BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH","0100-879X","1414-431X","BIOLOGY - SCIE","Q2","2.59",
"BIOMETRICS","0006-341X","1541-0420","BIOLOGY - SCIE","Q2","2.571",
"CRYOBIOLOGY","0011-2240","1090-2392","BIOLOGY - SCIE","Q2","2.487",
"BIOMETRIKA","0006-3444","1464-3510","BIOLOGY - SCIE","Q2","2.445",
"Biology Open","2046-6390","2046-6390","BIOLOGY - SCIE","Q2","2.422",
"AEROBIOLOGIA","0393-5965","1573-3025","BIOLOGY - SCIE","Q3","2.41",
"BioScience Trends","1881-7815","1881-7823","BIOLOGY - SCIE","Q3","2.4",
"JOURNAL OF MATHEMATICAL BIOLOGY","0303-6812","1432-1416","BIOLOGY - SCIE","Q3","2.259",
"MATHEMATICAL BIOSCIENCES","0025-5564","1879-3134","BIOLOGY - SCIE","Q3","2.144",
"Life Sciences in Space Research","2214-5524","2214-5532","BIOLOGY - SCIE","Q3","2.082",
"BIOELECTROMAGNETICS","0197-8462","1521-186X","BIOLOGY - SCIE","Q3","2.01",
"BIOSYSTEMS","0303-2647","1872-8324","BIOLOGY - SCIE","Q3","1.973",
"ORIGINS OF LIFE AND EVOLUTION OF BIOSPHERES","0169-6149","1573-0875","BIOLOGY - SCIE","Q3","1.95",
"AMERICAN JOURNAL OF HUMAN BIOLOGY","1042-0533","1520-6300","BIOLOGY - SCIE","Q3","1.937",
"RADIATION AND ENVIRONMENTAL BIOPHYSICS","0301-634X","1432-2099","BIOLOGY - SCIE","Q3","1.925",
"THEORY IN BIOSCIENCES","1431-7613","1611-7530","BIOLOGY - SCIE","Q3","1.919",
"Journal of Biological Research-Thessaloniki","1790-045X","2241-5793","BIOLOGY - SCIE","Q3","1.889",
"MATHEMATICAL MEDICINE AND BIOLOGY-A JOURNAL OF THE IMA","1477-8599","1477-8602","BIOLOGY - SCIE","Q3","1.875",
"JOURNAL OF BIOSCIENCES","0250-5991","0973-7138","BIOLOGY - SCIE","Q3","1.826",
"BIOLOGICAL BULLETIN","0006-3185","1939-8697","BIOLOGY - SCIE","Q3","1.818",
"BULLETIN OF MATHEMATICAL BIOLOGY","0092-8240","1522-9602","BIOLOGY - SCIE","Q3","1.758",
"International Journal of Astrobiology","1473-5504","1475-3006","BIOLOGY - SCIE","Q3","1.673",
"BRAZILIAN JOURNAL OF BIOLOGY","1519-6984","1678-4375","BIOLOGY - SCIE","Q3","1.651",
"COMPTES RENDUS BIOLOGIES","1631-0691","1768-3238","BIOLOGY - SCIE","Q3","1.583",
"ANNALS OF HUMAN BIOLOGY","0301-4460","1464-5033","BIOLOGY - SCIE","Q3","1.533",
"JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS","1085-7117","1537-2693","BIOLOGY - SCIE","Q3","1.524",
"TURKISH JOURNAL OF BIOLOGY","1300-0152","1303-6092","BIOLOGY - SCIE","Q3","1.452",
"JOURNAL OF ETHNOBIOLOGY","0278-0771","2162-4496","BIOLOGY - SCIE","Q3","1.391",
"BIOLOGIA","0006-3088","1336-9563","BIOLOGY - SCIE","Q4","1.35",
"JOURNAL OF THE HISTORY OF BIOLOGY","0022-5010","1573-0387","BIOLOGY - SCIE","Q4","1.326",
"JOURNAL OF BIOLOGICAL EDUCATION","0021-9266","2157-6009","BIOLOGY - SCIE","Q4","1.262",
"BIOCELL","0327-9545","1667-5746","BIOLOGY - SCIE","Q4","1.254",
"BIOLOGICAL RHYTHM RESEARCH","0929-1016","1744-4179","BIOLOGY - SCIE","Q4","1.219",
"CRYOLETTERS","0143-2044","1742-0644","BIOLOGY - SCIE","Q4","1.066",
"JOURNAL OF BIOLOGICAL SYSTEMS","0218-3390","1793-6470","BIOLOGY - SCIE","Q4","1",
"Archives of Biological Sciences","0354-4664","1821-4339","BIOLOGY - SCIE","Q4","0.956",
"Open Life Sciences","2391-5412","N/A","BIOLOGY - SCIE","Q4","0.938",
"FOLIA BIOLOGICA","0015-5500","0015-5500","BIOLOGY - SCIE","Q4","0.906",
"Biologia Futura","2676-8615","2676-8607","BIOLOGY - SCIE","Q4","0.821",
"INDIAN JOURNAL OF EXPERIMENTAL BIOLOGY","0019-5189","0975-1009","BIOLOGY - SCIE","Q4","0.818",
"BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY","1516-8913","1678-4324","BIOLOGY - SCIE","Q4","0.797",
"REVISTA DE BIOLOGIA TROPICAL","0034-7744","2215-2075","BIOLOGY - SCIE","Q4","0.723",
"PROCEEDINGS OF THE BIOLOGICAL SOCIETY OF WASHINGTON","0006-324X","1943-6327","BIOLOGY - SCIE","Q4","0.621",
"HUMAN BIOLOGY","0018-7143","1534-6617","BIOLOGY - SCIE","Q4","0.553",
"ZHURNAL OBSHCHEI BIOLOGII","0044-4596","N/A","BIOLOGY - SCIE","Q4","0.465",
"FOLIA BIOLOGICA-KRAKOW","0015-5497","1734-9168","BIOLOGY - SCIE","Q4","0.432",
"BIOLOGY BULLETIN","1062-3590","1608-3059","BIOLOGY - SCIE","Q4","0.392",
"Bioscience Journal","1981-3163","1981-3163","BIOLOGY - SCIE","Q4","0.347",
"AMERICAN BIOLOGY TEACHER","0002-7685","1938-4211","BIOLOGY - SCIE","Q4","0.342",
"PERIODICUM BIOLOGORUM","0031-5362","N/A","BIOLOGY - SCIE","Q4","0.313",
"Bulletin de la Societe Linneenne de Lyon","2554-5280","N/A","BIOLOGY - SCIE","Q4","0.156",
"Theoretical Biology Forum","2282-2593","2283-7175","BIOLOGY - SCIE","Q4","0.071",
"Synthetic Biology","N/A","2397-7000","BIOLOGY - ESCI","n/a","n/a",
"Emerging Topics in Life Sciences","2397-8554","2397-8562","BIOLOGY - ESCI","n/a","n/a",
"Advances in Human Biology","2321-8568","2348-4691","BIOLOGY - ESCI","n/a","n/a",
"Regulatory Mechanisms in Biosystems","2519-8521","2520-2588","BIOLOGY - ESCI","n/a","n/a",
"Bio-protocol","N/A","2331-8325","BIOLOGY - ESCI","n/a","n/a",
"Scientifica","2090-908X","2090-908X","BIOLOGY - ESCI","n/a","n/a",
"Bioscience Research","1811-9506","2218-3973","BIOLOGY - ESCI","n/a","n/a",
"Nusantara Bioscience","2087-3948","2087-3956","BIOLOGY - ESCI","n/a","n/a",
"International Journal of Biology and Chemistry","2218-7979","2409-370X","BIOLOGY - ESCI","n/a","n/a",
"NACC-Nova Acta Cientifica Compostelana Bioloxia","1130-9717","2340-0021","BIOLOGY - ESCI","n/a","n/a",
"Revista Bio Ciencias","2007-3380","2007-3380","BIOLOGY - ESCI","n/a","n/a",
"Annales Bogorienses-Journal of Tropical General Botany","0517-8452","0517-8452","BIOLOGY - ESCI","n/a","n/a",
"Journal of Biological Research-Bollettino della Societa Italiana di Biologia Sperimentale","1826-8838","2284-0230","BIOLOGY - ESCI","n/a","n/a",
"University of Toronto Journal of Undergraduate Life Sciences","1911-8899","1911-8899","BIOLOGY - ESCI","n/a","n/a",
"Tropical Life Sciences Research","1985-3718","2180-4249","BIOLOGY - ESCI","n/a","n/a",
"Revista Comunicacion","0379-3974","1659-3820","BIOLOGY - ESCI","n/a","n/a",
"Palawan Scientist","2467-5903","2467-5903","BIOLOGY - ESCI","n/a","n/a",
"Advancements in Life Sciences","2310-5380","2310-5380","BIOLOGY - ESCI","n/a","n/a",
"Integrative Organismal Biology","N/A","2517-4843","BIOLOGY - ESCI","n/a","n/a",
"Ukrainian Journal of Ecology","2520-2138","2520-2138","BIOLOGY - ESCI","n/a","n/a",

Copyright (c) 2021 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
